project_id_original,project_id,researcher,title,institution,award_amount
CB-2002,39891,César Raul González Bonilla,Polimorfismos de diferentes regiones y de microsatelites del cromosoma 6 y de genes de citocinas involucrados en la resistencia bacteriana y la evolucion clinica de la tuberculosis  pulmonar,Instituto Mexicano del Seguro Social ,3765072
CB-2002,39893,Juan Serrano Gomez,Optimización del Generador de Tc-99m  y Desarrollo del Generador de I-132 con Hidrotalcita como Soporte de los Radionúclidos Padres..,Instituto Nacional de Investigaciones Nucleares,1019787
CB-2002,39894,Javier Cabiedes Contreras,Papel de la revisión del receptor de la célula B en la patogénesis del lupus eritematoso generalizado (LEG): Importancia para el desarrollo de tolerancia periférica.,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1322647
CB-2002,39897,Jorge Fernando Toro Vazquez,Parámetros  que Determinan el Proceso de Cristalización de los Triglicéridos en Aceites Vegetales. Su Determinación y Aplicación Práctica.,Universidad Autónoma de San Luis Potosí,594333
CB-2002,39902,José Iván Escalante García,Estudio de los Mecanismos de Interacción Química y Propiedades Cementivas de Sistemas Escoria-Puzolana-CaSO4 y Cemento-Puzolana-CaSO4,Centro de Investigación y de Estudios Avanzados del IPN,1040269
CB-2002,39904,Juan Ignacio Arredondo Jimenez,Control integrado de Aedes aegypti y Aedes albopictus,Centro de Investigación en Paludismo,971246
CB-2002,39906,Leobardo Serrano Carreón,"Producción de 6-pentil-alfa-pirona por Trichoderma harzianum: Estudio de la elicitación, de la biotransformación y de los efectos hidrodinámicos",Universidad Nacional Autónoma de México,2384862
CB-2002,39908,Alberto Darszon Israel,"Participación de los Canales de Ca2+ y de K+ en la capacitación, motilidad y reacción acrosomal en el espermatozoide de mamífero.",Universidad Nacional Autónoma de México,1001797
CB-2002,39911,Mario Enrique Zurita Ortega,El factor de reparacion transcripcion tfiih en drosophila: un modelo de enfermedades y envejecimiento en humano,Universidad Nacional Autónoma de México,540941
CB-2002,39913,Bronwyn Jane Barkla Coady,Caracterizacion Funcional de los Intercambiadores Na+/H+ de Plantas,Universidad Nacional Autónoma de México,1586030
CB-2002,39918,Fernando De León González,Las raíces y la agregación en suelos con bajo contenido de arcilla,Universidad Autónoma Metropolitana,544825
CB-2002,39920,Juan Miranda Ríos,Estudios sobre la regulacion de la expresion de los genes biosinteticos de tiamina en bacterias,Universidad Nacional Autónoma de México,771344
CB-2002,39924,Carlos Miguel Villalón  Herrera,Identificación farmacológica de los mecanismos involucrados en los efectos de algunos agentes antimigrañosos clásicos y potenciales sobre el flujo carotídeo externo del perro,Centro de Investigación y de Estudios Avanzados del IPN,1512596
CB-2002,39930,Luis Fernando Covarrubias Robles,Función y Regulación de la Muerte Celular Programada,Universidad Nacional Autónoma de México,1292966
CB-2002,39931,Jean-Louis Charli Casalonga,"Estructura y función de la ectopeptidasa responsable de la inactivación del TRH, la piroglutamil aminopeptidasa II ",Universidad Nacional Autónoma de México,1322564
CB-2002,39935,Jorge Nieto Sotelo,"Estudios sobre el mecanismo de control del crecimiento mitótico y la termotolerancia mediados por Cdc25, el intercambiador de nucleótidos de guanina de Saccharomyces cerevisiae.",Universidad Nacional Autónoma de México,1125339
CB-2002,39936,Mario Rocha Sosa,Análisis de la participación de un nuevo grupo de proteínas con caja F en la respuesta de las plantas a estreses bióticos y abióticos.,Universidad Nacional Autónoma de México,915017
CB-2002,39939,Ma. del Carmen Beltran Nuñez,¿Dónde y cuando ocurren los flujos iónicos involucrados en la movilidad y en la reacción acrosomal del espermatozoide del erizo de mar? ¿Cómo los regula la adenilil ciclasa?,Universidad Nacional Autónoma de México,1067619
CB-2002,39941,Julián  Félix Valdez,Espectroscopía de Mesones y de Bariones,Universidad de Guanajuato,1158050
CB-2002,39945,Luis Quintanar Robles,Estudio de las Fuentes y Atenuación de las Ondas Sísmicas dentro del Valle de México.,Universidad Nacional Autónoma de México,1282500
CB-2002,39946,Rosa María del Angel Núñez de Cáceres,Mecanismos de entrada y replicación del virus del dengue,Centro de Investigación y de Estudios Avanzados del IPN,1449689
CB-2002,39950,Matilde Laura Velasco Ortiz,"Migración, trabajo agrícola y etnicidad: la articulación de lo global, nacional y local en el Valle de San Quintín en Baja California","El Colegio de la Frontera Norte, A.C.",853460
CB-2002,39951,Rachel Mata Essayag,Estudio conformacional de productos naturales biodinámicos para el desarrollo de agentes terapéuticos y agroquímicos. ,Universidad Nacional Autónoma de México,335500
CB-2002,39953,David Hughes ,The History of Obsecured Star Formatión in the High Redshift Universe.,"Instituto Nacional de Astrofísica, Optica y Electrónica",495900
CB-2002,39955,CARLOS FELIPE PEÑA MALACARA,Escalamiento de la producción de alginatos usando cepas de Azotobacter vinelandii mejoradas genéticamente ,Universidad Nacional Autónoma de México,951093
CB-2002,39957,Aurelio López López,"Extracción, Búsqueda y Análisis de Información a partir de Textos en Español","Instituto Nacional de Astrofísica, Optica y Electrónica",607086
CB-2002,39960,Roberto Ruiz Medrano,Estudio del transporte de RNA mensajero en floema,Centro de Investigación y de Estudios Avanzados del IPN,969952
CB-2002,39961,GUADALUPE BEATRIZ XOCONOSTLE CAZARES,Análisis multidisciplinario de la asociación planta-micorriza: una contribución a la biotecnología agrícola sustentable.,Centro de Investigación y de Estudios Avanzados del IPN,879631
CB-2002,39963,Armando Tejeda Mansir,"Procesos cromatográficos  para la producción industrial de plásmidos de uso médico: modelación, estimación de parámetros y simulación",Universidad de Sonora,445540
CB-2002,39970,Ana Lilia Concepción Laureano Cruces,Comportamiento conductual y cognitivo de agentes pedagógicos en los sistemas inteligentes de aprendizaje,Universidad Autónoma Metropolitana,335276
CB-2002,39974,María Isabel Lázaro Báez,"Estudio de la Disolución No-Oxidativa de Calcopirita  y su Influencia en el Mejoramiento de la Cinética de Lixiviación Férrica a Alta Temperatura, de Sulfuros de Cobre y Zinc",Universidad Autónoma de San Luis Potosí,529005
CB-2002,39979,Pedro José Bracamonte y Sosa,"Espacios de reproducción cultural y la construcción histórica de la marginalidad indígena en Yucatán, siglos XVI-XXI",Centro de Investigaciones y Estudios Superiores en Antropología Social,2023405
CB-2002,39981,Humberto González Chávez,Intermediarios en las Cadenas Agroalimentarias Globales en México: Frutas y Hortalizas,Centro de Investigaciones y Estudios Superiores en Antropología Social,826751
