project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
DST/INT/SL/ P-21/2016,,Electronic and Photovoltaic properties of Two- Dimensional Hybrid Organic and Inorganic Perovskites,Electronic and Photovoltaic properties of Two- Dimensional Hybrid Organic and Inorganic Perovskites,,,,,"Professor Prafulla K. Jha
Dr. (Mrs.) M.L.C Attygalle",,,,,,,,,,,,,,,,,
DST/INT/SL/ P-22/2016,,"“Bioprospecting Endolichenic Fungi from Mangroves in Negombo lagoon in Sri Lanka and Gulf of Khambat, Gulf of Kutch from Gujarat India.; An Untapped Treasure Trove for Discovery of Special Structures and Bioactive Compounds”.","“Bioprospecting Endolichenic Fungi from Mangroves in Negombo lagoon in Sri Lanka and Gulf of Khambat, Gulf of Kutch from Gujarat India.; An Untapped Treasure Trove for Discovery of Special Structures and Bioactive Compounds”.",,,,,"Dr. BhagyashreeKamble
Priyani Ashoka Paranagama",,,,,,,,,,,,,,,,,
DST/INT/SL/ P-23/2016,,Studies in surface sterilization of spices using non-thermal processes,Studies in surface sterilization of spices using non-thermal processes,,,,,"Prof. U.S. Annapure
Dr. P. N. R. J. Amunugoda",,,,,,,,,,,,,,,,,
DST/INT/SL/ P-24/2016,,Probing the provenance and distribution of heavy – mineral placer deposits in coastal areas of Southern India and SW Sri Lanka; A new multi- mineral proxy approach to understand source-to- sink link,Probing the provenance and distribution of heavy – mineral placer deposits in coastal areas of Southern India and SW Sri Lanka; A new multi- mineral proxy approach to understand source-to- sink link,,,,,"Prof. Sajeev Krishnan
Dr. Sanjeewa P.K. Malaviarachchi",,,,,,,,,,,,,,,,,
DST/INT/SL/ P-25/2016,,"Renewable Chemicals from the Plants of Indian Subcontinent: Isolation, Self- Assembly and Utilizations in Drug Delivery, Medicine and Catalysis. 2. Duration of Project: 36 months","Renewable Chemicals from the Plants of Indian Subcontinent: Isolation, Self- Assembly and Utilizations in Drug Delivery, Medicine and Catalysis. 2. Duration of Project: 36 months",,,,,"BRAJA GOPAL BAG
Mayuri Tharanga Napago da",,,,,,,,,,,,,,,,,
DST/INT/SL/ P-26/2016,,Forming of automotive materials at elevated temperature and selection of lubricants for sustainable manufacturing,Forming of automotive materials at elevated temperature and selection of lubricants for sustainable manufacturing,,,,,"Dr. R. Ganesh Narayanan
Dr. N. K. B. Manjula P. Nanayakkara",,,,,,,,,,,,,,,,,
DST/INT/SL/ P-27/2016,,Dynamic analysis and shape control of inflatable structures for space application,Dynamic analysis and shape control of inflatable structures for space application,,,,,"Dr. S H Upadhyay
Dr. H. M. Yasitha Chinthaka Mallika",,,,,,,,,,,,,,,,,
,,Big DATA Analytics : Recent Trends and application,Big DATA Analytics : Recent Trends and application,,,,,"Dr. Sonali Agarwal
Dr. Ruwan Ranweera",,,,,,,,,,,,,,,,,
,,Solar Filament Eruptions during Solar Cycle 24  ,Solar Filament Eruptions during Solar Cycle 24  ,,,,, Dr. Ramesh Chandra Dr. Boris P. Filippov,,,,,,,,,,,,,,,,,
,,Optical Metrology of Ultra- Short Pulses for Design of Flexible MIMO Based Next Generation Optical Communication Networks  ,Optical Metrology of Ultra- Short Pulses for Design of Flexible MIMO Based Next Generation Optical Communication Networks  ,,,,," Dr. Surinder Singh, Dr. Elena Anashkina,",,,,,,,,,,,,,,,,,
,,Coherent light-sound interactions in microstructure resonator devices for applications in narrow linewidth lasers and sensing  ,Coherent light-sound interactions in microstructure resonator devices for applications in narrow linewidth lasers and sensing  ,,,,, Dr Ravi Pant Dr Andrei Fotiadi,,,,,,,,,,,,,,,,,
,,Himalaya-Burma arc: modeling of seismicity and recognition of earthquake-prone areas  ,Himalaya-Burma arc: modeling of seismicity and recognition of earthquake-prone areas  ,,,,, Dr. Prantik Mandal Prof. A. I. Gorshkov,,,,,,,,,,,,,,,,,
,,Effect of PGPR on Ni- stress tolerance and related genomic changes in wheat  ,Effect of PGPR on Ni- stress tolerance and related genomic changes in wheat  ,,,,, Dr. Debasis Chakrabarty Dr.Veronika Pishchik,,,,,,,,,,,,,,,,,
,,Surface activity and toxicological studies of highly dispersed systems from raw materials and mining wastes  ,Surface activity and toxicological studies of highly dispersed systems from raw materials and mining wastes  ,,,,, Professor Rama Shanker Verma Dr. Frolova Maria Arkad‚Äôevna,,,,,,,,,,,,,,,,,
,,DEVELOPMENT OF MODELS OF IMMUNE- DEPENDENT DISORDERS AND FINDING OPTIMAL STRATEGIES FOR THEIR TREATMENT: ANALYTICAL AND COMPUTATIONAL APPROACHES.  ,DEVELOPMENT OF MODELS OF IMMUNE- DEPENDENT DISORDERS AND FINDING OPTIMAL STRATEGIES FOR THEIR TREATMENT: ANALYTICAL AND COMPUTATIONAL APPROACHES.  ,,,,, Dr. Priti Kumar Roy Dr. Evgenii Nikolaevich Khailov,,,,,,,,,,,,,,,,,
,,The study of the interaction of aqueous and non-aqueous solutions of electrolytes subjected to sonochemical exposure with biopolymers  ,The study of the interaction of aqueous and non-aqueous solutions of electrolytes subjected to sonochemical exposure with biopolymers  ,,,,, Dr. P. Sivashanmugam Prof. Dr. Vladimir Ivanovich Bogush,,,,,,,,,,,,,,,,,
,,"De novo transcriptome sequencing and a comparison of Illumina and Ion Torrent sequencing platforms in the context of differential gene expression analysis of the malaria vectors, Anopheles barbirostris and An. messeae (Diptera:Culicidae)  ","De novo transcriptome sequencing and a comparison of Illumina and Ion Torrent sequencing platforms in the context of differential gene expression analysis of the malaria vectors, Anopheles barbirostris and An. messeae (Diptera:Culicidae)  ",,,,, Prof. Guruswami Gurusubramanian Dr. Victoria A. Scobeyeva,,,,,,,,,,,,,,,,,
,,New strategy for the construction of biologically active nitrogen heterocycles based on novel reactions of donor- acceptor cyclopropanes with N-heterodiene systems  ,New strategy for the construction of biologically active nitrogen heterocycles based on novel reactions of donor- acceptor cyclopropanes with N-heterodiene systems  ,,,,, Dr. Prabal Banerjee Dr. Roman A. Novikov,,,,,,,,,,,,,,,,,
,,Receptor and signaling mechanisms of adaptive phenomenon induced by opioids and vanilloids  ,Receptor and signaling mechanisms of adaptive phenomenon induced by opioids and vanilloids  ,,,,," Dr Amteshwar Singh Jaggi Professor L.N. Maslov,",,,,,,,,,,,,,,,,,
,,Biofilms of sulfate reducing bacteria: the way to fight biocorrosion  ,Biofilms of sulfate reducing bacteria: the way to fight biocorrosion  ,,,,," Dr. Vinita Vishwakarma,                 Prof. Netrusov Alexander, Professor and",,,,,,,,,,,,,,,,,
,,Development of decision support systems integrating parallel adaptive heuristic algorithms for large-scale multi-objective optimization problems for socio-economic and environmental planning  ,Development of decision support systems integrating parallel adaptive heuristic algorithms for large-scale multi-objective optimization problems for socio-economic and environmental planning  ,,,,," Dr. Manoj Thakur Prof. Dr. Andranik S. Akopov,",,,,,,,,,,,,,,,,,
,,Design and Synthesis of new Single-Atom Catalyst on Metal-Organic Framework for Enhanced Catalytic Efficiency  ,Design and Synthesis of new Single-Atom Catalyst on Metal-Organic Framework for Enhanced Catalytic Efficiency  ,,,,, Dr. Sukhendu Mandal Dr. Denis Kuznetsov,,,,,,,,,,,,,,,,,
,,Interaction and biodegradation of Polycyclic aromatic hydrocarbons (PAHs) by microalgae  ,Interaction and biodegradation of Polycyclic aromatic hydrocarbons (PAHs) by microalgae  ,,,,," Dr. Anjana Jajoo, Dr. Suleyman I.",,,,,,,,,,,,,,,,,
,,Catalytic  Transformation of  Indian  and  Russian Origin  Biomass Feedstocks to Biofuel via Levulinic Acid  ,Catalytic  Transformation of  Indian  and  Russian Origin  Biomass Feedstocks to Biofuel via Levulinic Acid  ,,,,, Dr. Vijay V. Bokade Dr. Irina L. Simakova,,,,,,,,,,,,,,,,,
,,Mapping  of  Zika  virus epitopes shaping  humoral and  cellular  immune response  ,Mapping  of  Zika  virus epitopes shaping  humoral and  cellular  immune response  ,,,,," Manoj Baranwal, PhD Svetlana Franzevna Khaiboullina,",,,,,,,,,,,,,,,,,
,,Development of Ozonation and Photo Catalysts Based on Magnetic Nanoparticles for Efficient Water Purification  ,Development of Ozonation and Photo Catalysts Based on Magnetic Nanoparticles for Efficient Water Purification  ,,,,, Prof.  Papita Das Dr. Anastasiia Valerievna Shabalina,,,,,,,,,,,,,,,,,
,,Active tectonics and seismicity in the frontal and rearward areas of Indian-Asian collision zone: A comparative study between South Siberia and North-East India context  ,Active tectonics and seismicity in the frontal and rearward areas of Indian-Asian collision zone: A comparative study between South Siberia and North-East India context  ,,,,, Dr. R. Biswas Dr. Anna A. Doborynina,,,,,,,,,,,,,,,,,
,,DEVELOPMENT OF GLASSY CATHODE-SOLID ELECTROLYTE INTERFACE FOR HIGH ENERGY DENSITY LiBATTERIES .  ,DEVELOPMENT OF GLASSY CATHODE-SOLID ELECTROLYTE INTERFACE FOR HIGH ENERGY DENSITY LiBATTERIES .  ,,,,, Dr. Ramaswamy MURUGAN Dr. Il‚Äôina Evgeniya,,,,,,,,,,,,,,,,,
,,Comparative assessment of the relative contribution of lakes to methane emission in the tropical and arctic wetlands of Eurasia  ,Comparative assessment of the relative contribution of lakes to methane emission in the tropical and arctic wetlands of Eurasia  ,,,,," Prof. J.K. Garg,                       University Prof. Polishchuk Yuri M.",,,,,,,,,,,,,,,,,
,,Theoretical and experimental study on reduction of aberrations in the focal region to improve axial and lateral resolution of the high performance optical system by complex apodization techniques  ,Theoretical and experimental study on reduction of aberrations in the focal region to improve axial and lateral resolution of the high performance optical system by complex apodization techniques  ,,,,, Dr. Andra Naresh Kumar Reddy Dr. Svetlana Nikolaevna Khonina,,,,,,,,,,,,,,,,,
,,"Investigation of radiation, ion and particle emission from hot plasmas produced by high-intensity ultrashort laser pulses in different types of target  ","Investigation of radiation, ion and particle emission from hot plasmas produced by high-intensity ultrashort laser pulses in different types of target  ",,,,," Dr. Reji Philip, Dr. Krivokorytov Mikhail",,,,,,,,,,,,,,,,,
,,Investigation and Study of Electronic Behaviour of Organic Thin-Film Transistors (O-TFT)  ,Investigation and Study of Electronic Behaviour of Organic Thin-Film Transistors (O-TFT)  ,,,,, Dr. Navneet Gupta Dr. Roman Vasilevich Skidanov,,,,,,,,,,,,,,,,,
,,A  synergistic  approach to  inhibit type  1  collagen fibrillogenesis  by  small molecules interaction  ,A  synergistic  approach to  inhibit type  1  collagen fibrillogenesis  by  small molecules interaction  ,,,,," Dr N Nishad Fathima Dr Yuri Aleksandrovich Kim,",,,,,,,,,,,,,,,,,
,,Clonal Pathoadaptation of Serratia marcescens  ,Clonal Pathoadaptation of Serratia marcescens  ,,,,, Dr. Sujay Chattopadhyay Associate Dr. Lydia M. Bogolmolnaya,,,,,,,,,,,,,,,,,
,,"Unraveling the links between bioenergetics constraints, cell wall integrity, and multidrug resistance in fungi  ","Unraveling the links between bioenergetics constraints, cell wall integrity, and multidrug resistance in fungi  ",,,,," Rajendra Prasad, Dmitry Knorre, PhD",,,,,,,,,,,,,,,,,
,,Deep-sea experiment on observations of macroscopic nonlocal correlations  ,Deep-sea experiment on observations of macroscopic nonlocal correlations  ,,,,," Archan S. Majumdar,S. N. Bose Sergey M. Korotaev  Professor &",,,,,,,,,,,,,,,,,
,,Municipal wastewater treatment by microalgae and its following hydrothermal liquefaction to reach the sustainable and efficient use of renewable resources  ,Municipal wastewater treatment by microalgae and its following hydrothermal liquefaction to reach the sustainable and efficient use of renewable resources  ,,,,, Dr. Vinod Kumar Dr. Mikhail Vlaskin,,,,,,,,,,,,,,,,,
,,SYNTHESIS OF COVALENT ORGANIC FRAMEWORKS WITH ALL-CARBON BACKBONE FROM THE POLYCYCLIC AROMATIC MONOMERS AS A WAY FOR NEW CARBON MATERIALS  ,SYNTHESIS OF COVALENT ORGANIC FRAMEWORKS WITH ALL-CARBON BACKBONE FROM THE POLYCYCLIC AROMATIC MONOMERS AS A WAY FOR NEW CARBON MATERIALS  ,,,,," Dr. M. Sarojadevi, Dr. Dmitry Zherebtsov,",,,,,,,,,,,,,,,,,
,,Development of bioactive coatings for bone ‚Äìimplant interface strength and osseointegration  ,Development of bioactive coatings for bone ‚Äìimplant interface strength and osseointegration  ,,,,, Dr. B Subramanian Principal Scientist Prof. Dr. Yurii. Sharkeev,,,,,,,,,,,,,,,,,
,,"Histochemistry, Ultrastructure and  Targeted Metabolomics in  Fragrant Flowers  of  Some Bignoniaceae and Malvaceae Plants Aiming at Understanding of a Floral Trichome Role for Scent Volatiles Emission  ","Histochemistry, Ultrastructure and  Targeted Metabolomics in  Fragrant Flowers  of  Some Bignoniaceae and Malvaceae Plants Aiming at Understanding of a Floral Trichome Role for Scent Volatiles Emission  ",,,,, Dr Adinpunya Mitra Dr. Lyudmila E. Muravnik,,,,,,,,,,,,,,,,,
,,Eigenvector Localization in Floquet Networks  ,Eigenvector Localization in Floquet Networks  ,,,,, Sarika Jalan Mikhail Ivanchenko,,,,,,,,,,,,,,,,,
,,Regulation of  TGF-Œ≤- induced   CCL2 gene expression  andimpact of CR2 positive cell populations on breast cancer progression  ,Regulation of  TGF-Œ≤- induced   CCL2 gene expression  andimpact of CR2 positive cell populations on breast cancer progression  ,,,,," Arindam Bhattacharyya Dmitry V Kuprash,",,,,,,,,,,,,,,,,,
,,Development of new methods  for  the  rapid assessment of  influence of  heavy-metalions  and metal nanoparticles  on selected diazotrophs (Azospirillum and Cyanobacteria) by using the  acoustical biological sensors.  ,Development of new methods  for  the  rapid assessment of  influence of  heavy-metalions  and metal nanoparticles  on selected diazotrophs (Azospirillum and Cyanobacteria) by using the  acoustical biological sensors.  ,,,,, Dr. Surya Kant Mehta Olga Guliy,,,,,,,,,,,,,,,,,
,,Design  &  Development of  a  method  for providing  enhanced protection  to a quantum communication    channel from unauthorized removal of a portion of optical radiation in quantum key distribution systems  ,Design  &  Development of  a  method  for providing  enhanced protection  to a quantum communication    channel from unauthorized removal of a portion of optical radiation in quantum key distribution systems  ,,,,," Dr. Pradeep Kumar Singh, Pljonkin A.P.,",,,,,,,,,,,,,,,,,
,,The type 2 diabetes- induced  changes  in  the regulatory  effects  of apelin and leptin  on  the steroidogenesis  and spermatogenesis  in  the rodents  testes  and  the development  of  the approaches to their correction  ,The type 2 diabetes- induced  changes  in  the regulatory  effects  of apelin and leptin  on  the steroidogenesis  and spermatogenesis  in  the rodents  testes  and  the development  of  the approaches to their correction  ,,,,, Dr. Vikas Kumar Roy Prof. Alexander O. Shpakov,,,,,,,,,,,,,,,,,
,,Identification and modelling of microplastics transport in the coastal areas under the influence of dominant wind patterns  ,Identification and modelling of microplastics transport in the coastal areas under the influence of dominant wind patterns  ,,,,," Dr. R. Venkatachalapathy Dr. A. Bagaev, PhD,",,,,,,,,,,,,,,,,,
,,Ultrasonic encapsulation of bioactive compounds to deliver in the food matrix.  ,Ultrasonic encapsulation of bioactive compounds to deliver in the food matrix.  ,,,,, Dr Shirish H Sonawane Prof. Irina Potoroko,,,,,,,,,,,,,,,,,
,,Design and fabrication of array antenna for intelligent wireless communication systems  ,Design and fabrication of array antenna for intelligent wireless communication systems  ,,,,," Dr. M. R. Tripathy Dr. Lagovskiy Boris,",,,,,,,,,,,,,,,,,
,,Investigationsof micropolar  fluidflow through complexporous membranes and its applications   in engineering sciences‚Äù  ,Investigationsof micropolar  fluidflow through complexporous membranes and its applications   in engineering sciences‚Äù  ,,,,," Dr.Satya Deo, Anatoly Nikolaevich Filippov",,,,,,,,,,,,,,,,,
,,Oocyte cytoplasmic maturation in context of ovarian follicle physiology:Novel mechanistic insights  ,Oocyte cytoplasmic maturation in context of ovarian follicle physiology:Novel mechanistic insights  ,,,,, Dr Sumanta Nandi Prof. Semenova Maria L‚Äôvovna,,,,,,,,,,,,,,,,,
,,"Discovery of novel Fructose-1,6- bisphosphatase inhibitors to improve glycemic control in diabetes mellitus.  ","Discovery of novel Fructose-1,6- bisphosphatase inhibitors to improve glycemic control in diabetes mellitus.  ",,,,, Prof. Prasasd V. Bharatam  Profesor and Prof. Alexander A. Spasov,,,,,,,,,,,,,,,,,
,,Active plasmonics: Modifying the light emission of quantum emitters using optical resonances induced by metal-dielectric nanophotonic structures  ,Active plasmonics: Modifying the light emission of quantum emitters using optical resonances induced by metal-dielectric nanophotonic structures  ,,,,, Dr. Rajesh V. Nair Prof. A. A. Fedyanin,,,,,,,,,,,,,,,,,
,,New stereoselective synthesis of sialosides and Study of human anti- sialoside antibodies by methods of chemical biology  ,New stereoselective synthesis of sialosides and Study of human anti- sialoside antibodies by methods of chemical biology  ,,,,, Dr. JAIDEEP SAHA Dr. NICOLAI V. BOVIN,,,,,,,,,,,,,,,,,
,,Study of void galaxies in the Local Universe: Gas- Rich extremely low- metallicity dwarfs  ,Study of void galaxies in the Local Universe: Gas- Rich extremely low- metallicity dwarfs  ,,,,, J.N. CHENGALUR S.KURAPATI S.PUSTILNIK,,,,,,,,,,,,,,,,,
,,Photochemical activation of CO2 for direct carboxylation of olefins using photoactive nanoscale metal chalcogenide clusters  ,Photochemical activation of CO2 for direct carboxylation of olefins using photoactive nanoscale metal chalcogenide clusters  ,,,,, Dr. (Mrs) Suman L. Nikolay G.,,,,,,,,,,,,,,,,,
,,Capacity  building  in implement ation  of the  complex water resources management approach of hydrological  systems at Russian and Indian local levels  ,Capacity  building  in implement ation  of the  complex water resources management approach of hydrological  systems at Russian and Indian local levels  ,,,,," Dr. P.A.R.K. Raju,                        Professor Dr. Kostarev Sergey Vladimirovitch,",,,,,,,,,,,,,,,,,
,,"Characterization and Novel Treatment Technology for Oil Field Waters of Upper Assam Basin, India and in Western Siberia, Russia.  ","Characterization and Novel Treatment Technology for Oil Field Waters of Upper Assam Basin, India and in Western Siberia, Russia.  ",,,,," Dr. Subrata Borgohain Gogoi Dr. Tatiana Storchak,Associate",,,,,,,,,,,,,,,,,
,,Ensuring Data Security in IoT Environments through Machine Learning Techniques  ,Ensuring Data Security in IoT Environments through Machine Learning Techniques  ,,,,, Dr. Abhishek Srivastava         Indian Dr. Vladimir Shakhov,,,,,,,,,,,,,,,,,
,,Development and validation of an estrogen- related receptor gamma (ERR-Œ≥) based biosensor for detection of micro quantities of bisphenol A in biological samples  ,Development and validation of an estrogen- related receptor gamma (ERR-Œ≥) based biosensor for detection of micro quantities of bisphenol A in biological samples  ,,,,, Prof. S. Raisuddin Prof. Valentina A. Kratasyuk,,,,,,,,,,,,,,,,,
,,Ru and Os Complex Catalysed Activation and Functionalization of Alkane C-H Bonds  ,Ru and Os Complex Catalysed Activation and Functionalization of Alkane C-H Bonds  ,,,,," Dr. Sabuj Kumar Kundu,  Assistant Prof. Natalia V. Belkova,",,,,,,,,,,,,,,,,,
,,Investigation of electron- acoustic phonon interaction in semiconductor and metal oxides  ,Investigation of electron- acoustic phonon interaction in semiconductor and metal oxides  ,,,,, Dr. Rajesh Kumar Dr. Alexander S. Krylov,,,,,,,,,,,,,,,,,
,,Azobenzene based photochromic ion channel blockers for optopharmacological applications: design and photochemical characterization  ,Azobenzene based photochromic ion channel blockers for optopharmacological applications: design and photochemical characterization  ,,,,," SUMAN KALYAN PAL, Associate MAXIM S. PANOV",,,,,,,,,,,,,,,,,
,,"Combined  liquid bioinsecticides  on  the basis  of  nanoparticles, entomopathogenic bacteria and fungi  ","Combined  liquid bioinsecticides  on  the basis  of  nanoparticles, entomopathogenic bacteria and fungi  ",,,,, K.Sahayaraj                               Head and Ivan M. Dubovskiy,,,,,,,,,,,,,,,,,
,,‚ÄúRegulating Bcl- 2ExpressioninMCF ‚Äì7 & T47D Breast Cancer Cell Lines using Graphene Oxide Polymer Nanoparticles as siRNA carrier In vitro & Evaluating its Levelin the Blood of Patients using AFM‚Äù  ,‚ÄúRegulating Bcl- 2ExpressioninMCF ‚Äì7 & T47D Breast Cancer Cell Lines using Graphene Oxide Polymer Nanoparticles as siRNA carrier In vitro & Evaluating its Levelin the Blood of Patients using AFM‚Äù  ,,,,," Dr. Balasubramanian N Dr. Yurii D. Ivanov,",,,,,,,,,,,,,,,,,
,,IoT and Machine Learning based Tea Leaf Grading  ,IoT and Machine Learning based Tea Leaf Grading  ,,,,, Dr. Kandarpa Kumar Dr. Tyukin Ivan Yurievich,,,,,,,,,,,,,,,,,
,,Investigations on the chemical composition and complex dynamics of fluid geosystems  in seismically active regions of the Russia and India  ,Investigations on the chemical composition and complex dynamics of fluid geosystems  in seismically active regions of the Russia and India  ,,,,, Dr. Hirok Chaudhuri          Assistant Dr.Valery V. Ershov,,,,,,,,,,,,,,,,,
,,Theoretical  and experimental investigation  of individual  and  joint  mass transfer utilizing  spontaneous interfacial  convection (SIC)  in  the  process  of liquid  extraction  and  its applications in micro devices.  ,Theoretical  and experimental investigation  of individual  and  joint  mass transfer utilizing  spontaneous interfacial  convection (SIC)  in  the  process  of liquid  extraction  and  its applications in micro devices.  ,,,,, Dr. Partho Sarathi Gooh Pattader Dr. Ermakov Sergey Anatolyevich,,,,,,,,,,,,,,,,,
,,Earth‚Äôs and planetary convection in fast rotating plane layer  ,Earth‚Äôs and planetary convection in fast rotating plane layer  ,,,,, Prof. Ramesh Babu Prof.SergeyStarchenko,,,,,,,,,,,,,,,,,
,,"Morphology, anatomy and developmental biolory of Aponogeton(Aponogetona ceae: Alismatales)  ","Morphology, anatomy and developmental biolory of Aponogeton(Aponogetona ceae: Alismatales)  ",,,,," Manoj M. Lekhak, Dmitry D. Sokolofl",,,,,,,,,,,,,,,,,
,,"Analysis of urban ‚Äòheat islands‚Äô, air pollution dynamics  and  extreme weather  phenomena in India and Russia  ","Analysis of urban ‚Äòheat islands‚Äô, air pollution dynamics  and  extreme weather  phenomena in India and Russia  ",,,,, Dr. K C Gouda Dr. Mikhail A. Lokoshchenko.,,,,,,,,,,,,,,,,,
,,Theory and modeling of non-equilibrium and spintronics phenomena in superconductor- ferromagnet-supercon ductor structures  ,Theory and modeling of non-equilibrium and spintronics phenomena in superconductor- ferromagnet-supercon ductor structures  ,,,,, Krishnendu Sengupta Yury M. Shukrinov,,,,,,,,,,,,,,,,,
,,Behavior analysis of customers with renewable energy sources  and hybrid attacker in Smart Grid Networks  ,Behavior analysis of customers with renewable energy sources  and hybrid attacker in Smart Grid Networks  ,,,,, Manav Bhatnagar                       Indian Sedakov Artem A.,,,,,,,,,,,,,,,,,
,,Modeling  the  dynamics and  evolution  of predator-prey communities  under anthropogenic impacts: Comparison of discrete and continuous time approaches  ,Modeling  the  dynamics and  evolution  of predator-prey communities  under anthropogenic impacts: Comparison of discrete and continuous time approaches  ,,,,," Dr. Bapan Ghosh Assistant Professor Dr. Efim Frisman,",,,,,,,,,,,,,,,,,
,,Elucidation of effect of exogenous DNA and its derivatives on radiation-induced toxicity: in vitro and in vivo approaches  ,Elucidation of effect of exogenous DNA and its derivatives on radiation-induced toxicity: in vitro and in vivo approaches  ,,,,, Dr. N. Devipriya Prof. Gudkov Sergey Vladimiro,,,,,,,,,,,,,,,,,
,,"COMPUTATIONAL INVESTIGATION OF VORTICAL STRUCTURES: FORMATION, TRANSFORMATION AND MIXING  ","COMPUTATIONAL INVESTIGATION OF VORTICAL STRUCTURES: FORMATION, TRANSFORMATION AND MIXING  ",,,,, Dr. Satya Prakash Singh Dr. Vasily N. Govorukhin,,,,,,,,,,,,,,,,,
,,Investigations of multidimensional fractional diffusion-wave equations and their application to the study of dissipative physical processes  ,Investigations of multidimensional fractional diffusion-wave equations and their application to the study of dissipative physical processes  ,,,,, Prof.Praveen AGARWAL Department Prof.Pskhu Arsen Vladimirovich,,,,,,,,,,,,,,,,,
,,Expression analysis of BjHO1under oxidative stress and evaluation of Hemeoxygenase-1 (HO-1) role in plant defense and lateral root development(LR‚Äôs)  ,Expression analysis of BjHO1under oxidative stress and evaluation of Hemeoxygenase-1 (HO-1) role in plant defense and lateral root development(LR‚Äôs)  ,,,,, Dr. G. S. Shekhawat                Associate Dr.Alexey Fedorovich,,,,,,,,,,,,,,,,,
,,Development of methods for in-season monitoring of sugarcanecrop in Peninsular India using Earth Observations for precision water and nitrogen management  ,Development of methods for in-season monitoring of sugarcanecrop in Peninsular India using Earth Observations for precision water and nitrogen management  ,,,,," Dr. V.C. Patil, Direct K.J. Dr. Sergey Bartalev",,,,,,,,,,,,,,,,,
,,New nanocomposites and core-shell type nanoparticles    for biomedical applications: modernization of synthesis methods and study of properties‚Äù  ,New nanocomposites and core-shell type nanoparticles    for biomedical applications: modernization of synthesis methods and study of properties‚Äù  ,,,,," Dr. E. Ranjith Kumar, ProfessorDr.of Sc.Aleksandr S.",,,,,,,,,,,,,,,,,
,,‚ÄúNLRX1- mediatedregulation of mitochondrial functions and its role in potential therapeutic efficiency of oncolytic viruses in human breast carcinoma models‚Äù  ,‚ÄúNLRX1- mediatedregulation of mitochondrial functions and its role in potential therapeutic efficiency of oncolytic viruses in human breast carcinoma models‚Äù  ,,,,, Dr. Rajesh Singh Prof. Peter M. Chumakov,,,,,,,,,,,,,,,,,
,,Integrated approaches for baseline study and application of bioremediation and phytoremediation of PAH contaminated soil  ,Integrated approaches for baseline study and application of bioremediation and phytoremediation of PAH contaminated soil  ,,,,, Dr. Banwari Lal                             Senior Dr. Muratova Anna,,,,,,,,,,,,,,,,,
,,"Tropical and Arctic seagrass ecosystems in a changing ocean: structure, dynamics and climate effects  ","Tropical and Arctic seagrass ecosystems in a changing ocean: structure, dynamics and climate effects  ",,,,, Dr. P. SANTHANAM                Assistant Dr. DMITRY LAJUS,,,,,,,,,,,,,,,,,
,,Isotopic and microelement systematics in banded iron formations from   Bundelkhand craton(India)   and Kola- Karelia region(Russia)-a comparative study  ,Isotopic and microelement systematics in banded iron formations from   Bundelkhand craton(India)   and Kola- Karelia region(Russia)-a comparative study  ,,,,, Dr. Pritam Nasipuri Dr. Nadezhda Alfimova,,,,,,,,,,,,,,,,,
,,Development of the theory and practical methods for processing multispectral satellite imagery based on the use of a nonparametric statistical method and neural networks for the recognition of vegetation and forest characteristics for land monitoring  ,Development of the theory and practical methods for processing multispectral satellite imagery based on the use of a nonparametric statistical method and neural networks for the recognition of vegetation and forest characteristics for land monitoring  ,,,,," Dr. T.P. Singh                          Professor, Alexander P. Guk, Professor",,,,,,,,,,,,,,,,,
,,Studies on structure- function properties of an anticoagulant fibrin(ogen)olytic serineprotease from a medicinal plant of NE lndia for the development of cardiovascular drug  ,Studies on structure- function properties of an anticoagulant fibrin(ogen)olytic serineprotease from a medicinal plant of NE lndia for the development of cardiovascular drug  ,,,,, Dr. Ashis Kumar Mukherjee Professor Dr. Yuri Utkin,,,,,,,,,,,,,,,,,
,,Clean-up of nanoparticles by aquatic plants through phytoremediation  ,Clean-up of nanoparticles by aquatic plants through phytoremediation  ,,,,, Prof. Saratchandra Babu Mukkamala Dr. Anna Godymchuk,,,,,,,,,,,,,,,,,
,,Studies  on  Non- Enzymatic  Glycosylation markers  in  Metabolic Syndrome patients with Schizophrenia  ,Studies  on  Non- Enzymatic  Glycosylation markers  in  Metabolic Syndrome patients with Schizophrenia  ,,,,, Dr. Saheem Ahmad Prof. Svetlana Ivanova,,,,,,,,,,,,,,,,,
,,New  Ion-conducting Hybrid  Membranes  for Electro-membrane Processes and Energy Applications  ,New  Ion-conducting Hybrid  Membranes  for Electro-membrane Processes and Energy Applications  ,,,,," Dr. Vaibhav Kulshrestha, Prof. Tatiana Raskulova",,,,,,,,,,,,,,,,,
,,Structural background of the trace metal induced toxicity of a- synuclein  ,Structural background of the trace metal induced toxicity of a- synuclein  ,,,,," Dr. Shashank Deep, Prof Olga Sokolova",,,,,,,,,,,,,,,,,
,,Performance models of streaming data to optimize the resource utilization in mobile edge Internet networks  ,Performance models of streaming data to optimize the resource utilization in mobile edge Internet networks  ,,,,," Dr. Hemant Purohit Dmitry G. Korzun,",,,,,,,,,,,,,,,,,
